CID,a
6378,3.470967741935484e-06
6382,5.2903225806451614e-06
6384,7.870967741935484e-05
6386,2.6258064516129034e-07
6389,5.180645161290323e-06
6391,3.129032258064516e-05
6392,0.00013806451612903225
6393,0.0011290322580645162
6397,1.5096774193548387e-06
6398,9.290322580645161e-07
6399,1.0774193548387097e-06
6403,2.058064516129032e-06
6406,7.096774193548388e-09
6410,3.5225806451612905e-08
6413,4.251612903225807e-07
6423,1.5483870967741934e-07
6426,3.8709677419354837e-07
6427,3.258064516129032e-07
6428,2.3419354838709676e-06
6429,1.2993548387096774e-05
6430,4.4258064516129034e-05
6466,0.0
6492,1.4838709677419354e-08
6497,4.367741935483871e-09
6505,1.9354838709677417e-12
6506,4.432258064516129e-12
6517,1.2129032258064515e-08
6544,2.8258064516129032e-09
6549,1.0258064516129032e-09
6556,4.445161290322581e-06
6557,3.5483870967741936e-06
6558,8.903225806451613e-07
6560,6.709677419354839e-08
6561,1.1161290322580645e-06
6562,1e-06
6564,3.4387096774193546e-07
6568,1.1806451612903226e-07
6569,5.84516129032258e-07
6570,9.806451612903227e-07
6571,7.741935483870967e-08
6574,1.4838709677419356e-07
6575,4.4516129032258066e-07
6577,1.6258064516129032e-07
6581,2.561290322580645e-08
6582,2.8387096774193547e-09
6584,1.3948387096774194e-06
6585,9.354838709677419e-08
6586,7e-07
6587,1.3419354838709678e-07
6589,1.5161290322580645e-06
6591,3.703225806451613e-08
6613,3.3161290322580645e-17
6616,1.6129032258064518e-08
6623,2.5806451612903224e-16
6629,2.1096774193548388e-11
6641,4.8387096774193547e-14
6654,3.0645161290322583e-08
6658,2.4838709677419353e-07
6675,0.0
6781,1.3548387096774193e-11
6787,3.316129032258064e-15
6810,3.67741935483871e-10
6819,4.561290322580645e-14
6824,4.2e-15
6877,1.4838709677419354e-11
6895,1.3548387096774193e-09
6904,3.3548387096774197e-17
6909,1.0322580645161291e-16
6945,1.161290322580645e-10
6946,1.7870967741935483e-11
6947,7.290322580645161e-10
6989,1.032258064516129e-10
6998,3.825806451612903e-09
7015,7.741935483870967e-13
7027,1.8064516129032258e-17
7044,1.4838709677419354e-08
7047,3.8709677419354837e-10
7057,1.6516129032258064e-12
7095,5.7612903225806456e-11
7102,2.0645161290322583e-12
7158,6.432258064516128e-14
7175,1.9806451612903223e-12
7184,1.6193548387096773e-12
7187,4.516129032258064e-13
7237,4.290322580645162e-08
7239,8.774193548387098e-09
7245,1.632258064516129e-08
7257,4.07741935483871e-11
7285,2.3806451612903227e-08
7286,2.8387096774193552e-08
7294,5.587096774193548e-07
7296,8.903225806451613e-07
7321,3.832258064516129e-15
7344,2.4193548387096773e-08
7354,1.367741935483871e-08
7357,3.4193548387096775e-07
7361,3.929032258064516e-09
7362,1.4258064516129033e-08
7372,2.7483870967741935e-09
7406,2.9032258064516128e-08
7407,1.2258064516129031e-08
7410,2.5612903225806452e-09
7412,4.516129032258064e-09
7416,1.5806451612903226e-09
7439,7.419354838709678e-10
7456,1.529032258064516e-12
7473,1.0129032258064516e-10
7475,2.064516129032258e-14
7477,9.03225806451613e-11
7489,3.8709677419354837e-19
7498,2.903225806451613e-09
7500,6.193548387096774e-08
7501,4.1290322580645166e-08
7502,1.103225806451613e-08
7503,7.935483870967742e-09
7505,4.9548387096774195e-09
7516,1.6774193548387095e-10
7519,2.2838709677419354e-08
7533,3.4258064516129032e-15
7579,1.6129032258064518e-14
7583,1.4516129032258064e-10
7618,2.3161290322580645e-14
7622,6.025806451612903e-10
7628,1.032258064516129e-14
7636,1.1483870967741934e-09
7674,9.870967741935484e-09
7693,1.2516129032258062e-07
7716,8.258064516129033e-12
7720,8.774193548387098e-10
7751,3.1419354838709676e-08
7757,5.754838709677419e-09
7766,6.967741935483872e-08
7768,1.2258064516129032e-11
7794,1.6129032258064515e-09
7809,5.703225806451613e-08
7819,4.5612903225806455e-08
7835,1.0580645161290322e-07
7838,3.032258064516129e-08
7839,7.225806451612902e-08
7841,9.032258064516129e-07
7843,1.1741935483870967e-05
7844,1.4535483870967742e-05
7847,1.767741935483871e-06
7848,9.948387096774194e-07
7850,2.374193548387097e-06
7854,3.058064516129032e-07
7855,7.032258064516129e-07
7858,1.6387096774193547e-07
7860,1.6451612903225806e-06
7861,8.490322580645162e-06
7865,3.778709677419355e-06
7868,2.8838709677419357e-07
7870,4.516129032258065e-10
7873,1.6774193548387095e-12
7884,2.038709677419355e-08
7892,1.3612903225806451e-06
7895,2.2838709677419354e-07
7900,8.064516129032257e-08
7902,2.0516129032258067e-08
7909,1.2838709677419354e-07
7912,5.12258064516129e-07
7914,9.612903225806452e-07
7915,3.8948387096774195e-07
7918,3.290322580645161e-08
7922,9.67741935483871e-12
7923,1.6129032258064515e-09
7929,5.348387096774193e-08
7933,8.064516129032258e-10
7937,3.645161290322581e-08
7947,1.6e-08
7950,1.5483870967741935e-09
7953,1.2838709677419354e-08
7958,1.064516129032258e-08
7961,2.696774193548387e-08
7962,2.967741935483871e-07
7964,7.741935483870967e-08
7965,6.516129032258064e-08
7966,4.238709677419355e-09
7967,3.2258064516129035e-08
7975,7.225806451612902e-08
7986,3.025806451612903e-14
7997,2.3161290322580645e-07
8003,3.3161290322580644e-06
8004,4.096774193548387e-06
8007,5.993548387096775e-07
8011,5.161290322580645e-10
8012,2.935483870967742e-07
8016,6.9677419354838715e-09
8019,6.129032258064517e-08
8021,1.5290322580645162e-06
8027,5.387096774193548e-08
8028,1.0451612903225806e-06
8029,3.870967741935484e-06
8030,5.141935483870968e-07
8033,1.6193548387096775e-07
8038,1.1483870967741935e-07
8042,6.032258064516129e-13
8051,2.4838709677419356e-08
8058,9.870967741935483e-07
8064,6.774193548387097e-11
8067,8.903225806451614e-08
8076,3.4258064516129027e-08
8078,6.251612903225807e-07
8082,2.070967741935484e-07
8083,6.516129032258064e-08
8086,8.064516129032258e-13
8095,1.2903225806451612e-08
8103,5.9870967741935485e-09
8111,1.4967741935483871e-09
8113,1.8064516129032257e-12
8115,1e-08
8117,3.67741935483871e-11
8119,5.2193548387096776e-08
8121,4.993548387096774e-10
8125,1.1225806451612902e-07
8128,4.387096774193549e-12
8129,1.3954838709677419e-09
8133,5.6774193548387094e-09
8134,1.6129032258064515e-09
8141,2.870967741935484e-08
8146,8.129032258064516e-10
8147,8.516129032258065e-10
8148,1.6709677419354837e-08
8150,1.9096774193548388e-08
8172,8.516129032258065e-12
8174,5.4903225806451615e-11
8175,6.645161290322581e-10
8177,1.4129032258064515e-10
8178,2.2580645161290324e-11
8179,3.3548387096774196e-09
8183,1.0258064516129033e-10
8184,1.9161290322580645e-11
8190,1.4451612903225805e-11
8193,5.470967741935484e-12
8200,3e-13
8221,1.7419354838709678e-14
8252,5.606451612903226e-05
8254,2.870967741935484e-05
8255,1.4890322580645162e-05
8260,3.045161290322581e-07
8268,2.567741935483871e-15
8294,7.161290322580645e-10
8301,0.00015806451612903225
8331,3.5483870967741937e-15
8342,7.0967741935483874e-15
8343,9.161290322580646e-16
8346,6.451612903225806e-16
8376,5.1741935483870967e-14
8379,1.6129032258064517e-19
8380,2.5032258064516127e-15
8393,8.193548387096775e-12
8404,2.3741935483870966e-09
8418,4.232258064516129e-14
8434,5.993548387096774e-13
8438,6.451612903225806e-11
8449,5.806451612903226e-10
8467,6.709677419354839e-14
8471,3.681935483870968e-07
8472,1.5483870967741934e-07
8489,6.258064516129033e-10
8518,4.664516129032258e-17
8519,1.0129032258064516e-18
8606,5.806451612903226e-16
8635,1.7483870967741934e-10
8640,2.6967741935483867e-11
8711,1.2903225806451614e-09
8800,3.2421935483870967e-15
8821,2.4903225806451616e-07
8843,5.890322580645162e-10
8846,3.5161290322580646e-08
8857,6.012903225806452e-07
8858,5.2967741935483875e-08
8868,5.032258064516129e-09
8894,4.6129032258064514e-07
8900,2.967741935483871e-07
8909,3.8774193548387095e-08
8946,1.1032258064516129e-10
8948,3.67741935483871e-10
8988,1.9483870967741936e-16
9033,1.3741935483870968e-06
9250,7.612903225806451e-06
9253,2.0503225806451615e-06
9265,1.3935483870967744e-07
9275,3e-16
9298,5.161290322580645e-12
9321,9.290322580645162e-08
9740,2.2580645161290324e-10
10038,6.709677419354839e-05
10041,8.32258064516129e-06
10049,3.238709677419355e-10
10405,3.5612903225806455e-09
10430,2.8387096774193547e-09
10461,7.096774193548387e-10
10476,7.870967741935484e-07
10477,7.935483870967743e-06
10482,7.870967741935484e-07
10492,3.238709677419355e-10
10509,5.432258064516129e-08
10900,1.296774193548387e-06
10903,9.632258064516129e-06
10908,3.032258064516129e-07
10928,1.4451612903225805e-07
10943,1.3870967741935483e-08
10967,1.896774193548387e-07
10977,2.1225806451612903e-07
11010,2.4258064516129032e-06
11137,9.677419354838708e-13
11185,1.3419354838709678e-07
11294,0.0
11429,3.232258064516129e-10
11487,4.32258064516129e-12
11552,3.225806451612903e-07
11583,7.483870967741935e-08
11597,1.1851612903225805e-06
11610,3.825806451612903e-07
11641,6.664516129032258e-06
11673,5.483870967741935e-08
12220,1.032258064516129e-05
12259,4.129032258064516e-07
12375,2.174193548387097e-08
12932,5.161290322580645e-15
12960,1.3548387096774192e-16
12968,1.5483870967741936e-10
13143,2.709677419354839e-07
13165,3.374193548387097e-10
13190,3.1806451612903225e-09
13381,1.0774193548387096e-08
13506,0.0
13507,0.0
13728,1.9354838709677417e-16
14013,3.8e-07
14215,5.709677419354838e-10
14260,9.677419354838709e-11
14716,2.1290322580645162e-13
14749,0.0
14798,0.0
14899,1.4838709677419354e-10
14917,5.916129032258064e-06
14950,0.0
15122,2.2129032258064518e-08
15600,9.225806451612903e-09
15965,0.0
16003,6.709677419354838e-11
16043,2.064516129032258e-13
16115,2.5161290322580648e-17
16248,1.7419354838709678e-15
16606,2.7741935483870963e-10
16653,3.612903225806452e-11
16704,1.870967741935484e-08
16724,7.419354838709678e-10
17049,2.0645161290322583e-08
17093,0.0
17095,4.116129032258064e-10
17358,0.00011483870967741936
17601,1.5541935483870966e-05
18052,1.2903225806451614e-07
19244,4.948387096774193e-11
19284,1.335483870967742e-14
19883,1.0548387096774194e-07
21954,4.838709677419355e-16
23931,1.2903225806451613e-11
23963,8.488964883870968e-12
24273,4.9225806451612905e-08
24386,7.67741935483871e-07
24387,7.741935483870967e-07
24404,0.00018903225806451613
24408,1.367741935483871e-06
24410,1.2451612903225808e-07
24526,3.761290322580645e-05
24570,6.451612903225807e-08
24648,9.032258064516129e-07
24670,5.161290322580645e-10
24685,9.032258064516128e-13
24726,2.2129032258064513e-07
24744,6.451612903225806e-20
24749,0.0
24816,1.5225806451612903e-06
25135,8.064516129032258e-06
25212,3.1870967741935482e-09
25352,5.832258064516129e-06
30318,7.096774193548388e-08
30322,0.0
31237,3.2903225806451615e-13
31250,0.0
31253,1.3483870967741935e-08
31254,1.632258064516129e-09
31260,1.5290322580645162e-08
31263,8.774193548387098e-09
31268,4.045161290322581e-07
31272,7.419354838709678e-08
31275,2.4580645161290324e-07
31278,3.741935483870968e-14
31285,3.483870967741936e-08
31292,4.3225806451612905e-15
31295,4.896774193548387e-16
31373,1.1935483870967742e-07
31374,1.2903225806451612e-08
31404,3.329032258064516e-11
32898,1.3354838709677419e-10
33599,3.4064516129032255e-15
33934,3.548387096774193e-14
40818,4.64516129032258e-10
60963,3.8e-14
61103,7.741935483870967e-13
61503,5.24516129032258e-10
61507,3.8e-07
62695,1.032258064516129e-05
64685,3.238709677419355e-10
82170,6.387096774193548e-17
89594,2.4516129032258066e-10
91435,5.24516129032258e-10
92092,3.3548387096774197e-17
98495,3.67741935483871e-10
104745,2.2774193548387094e-08
104775,1.064516129032258e-08
104827,4.516129032258064e-15
107526,0.0
131204,9.677419354838709e-17
140487,3.832258064516129e-06
145742,1.9483870967741936e-16
159055,4.193548387096774e-09
165675,4.948387096774193e-11
168842,1.0129032258064516e-18
171144,4.470967741935484e-13
171548,6.903225806451613e-17
200164,1.464516129032258e-15
221493,0.0
222547,3.8e-14
439550,6.709677419354838e-18
439551,0.0
439568,3.238709677419355e-10
439570,7.419354838709678e-10
440968,3.0645161290322583e-08
441207,0.0
444266,8.645161290322581e-14
444679,6.709677419354838e-18
444972,9.935483870967743e-13
445070,2.541935483870968e-13
445354,4.838709677419355e-16
445639,3.5225806451612905e-15
447466,1.9354838709677418e-07
517055,1.935483870967742e-20
574516,1.161290322580645e-18
636363,7.741935483870968e-14
637511,1.864516129032258e-10
637517,3.5225806451612905e-15
637566,1.9354838709677419e-10
638011,5.890322580645162e-10
642197,2.2129032258064518e-08
643460,1.9870967741935486e-12
643779,5.890322580645162e-10
657014,3.238709677419355e-10
736366,7.0967741935483874e-15
969491,3.8e-14
1201518,3.238709677419355e-10
1548943,8.516129032258065e-17
1549025,2.1290322580645162e-10
1549026,2.1290322580645162e-10
1549107,2.541935483870968e-13
1549108,2.541935483870968e-13
1549109,2.541935483870968e-13
1549236,1.9870967741935486e-12
1549237,1.9870967741935486e-12
2723790,9.096774193548387e-16
2724385,0.0
2724411,0.0
3032552,5.8064516129032256e-06
5280795,1.5483870967741935e-17
5353527,1.5483870967741935e-17
5370144,2.8387096774193552e-08
5748353,3.3161290322580645e-17
5748487,9.677419354838709e-17
6097028,1.2451021935483872e-07
6327386,2.767741935483871e-06
6426645,0.0
6432115,2.2129032258064518e-08
6432644,1.5483870967741935e-17
6478437,3.8e-14
6552009,3.238709677419355e-10
6604642,0.0
6971047,1.9483870967741936e-16
6994089,7.096774193548388e-16
9543187,4.193548387096774e-09
9807916,0.0
9888276,0.0
10255083,0.0
11112419,1.0129032258064516e-18
11777341,3.3161290322580645e-17
11954021,6.290322580645162e-14
12242824,3.238709677419355e-10
12303031,6.290322580645162e-14
12310947,7.741935483870967e-13
12310951,7.741935483870967e-13
12358489,3.8e-14
15302585,3e-16
15558252,0.0
16211179,1.2903225806451613e-20
16211647,4.516129032258064e-15
16213094,1.0322580645161292e-08
18594026,5.806451612903226e-16
22150757,1.2645161290322582e-07
23266392,1.3741935483870968e-06
23617080,0.0
23664719,5.032258064516129e-16
23691008,6.432258064516128e-14
24860538,7.741935483870967e-13
24860539,6.290322580645162e-14
24898929,0.0
44134820,4.516129032258064e-15
44318676,1.0129032258064516e-18
44575418,0.0
44630107,3.238709677419355e-10
44630304,0.0
45039692,4.948387096774193e-11
46783411,0.0
46856306,1.161290322580645e-18
54670067,6e-19
54675810,9.935483870967743e-19
54676825,0.0
54676860,9.935483870967743e-19
54679076,6e-19
54679407,0.0
54680660,0.0
71308275,6.387096774193548e-17
71316037,3.8e-14
87059370,5.032258064516129e-16
87965006,5.24516129032258e-10
92535137,7.741935483870967e-13
131676138,0.0
134687881,6.290322580645162e-14
134687882,3.8e-14
135436497,0.0
135564772,4.516129032258065e-10
135565233,8.064516129032257e-08
