CID,a
13,0.021583715345994323
241,0.00814505566470203
335,0.00036836935166994106
356,0.012238048461034708
398,4.092992796332678e-05
568,0.03050643964199956
727,0.04236247544204322
931,0.004052062868369352
949,0.00010914647456887143
991,0.0004911591355599214
992,0.0008185985592665357
995,0.057260969220694166
1140,0.002687731936258459
1254,4.092992796332678e-05
1732,2.728661864221786e-05
1752,0.0007640253219820998
2078,6.821654660554464e-05
2256,8.185985592665356e-05
2336,0.3055419122462344
2347,8.185985592665356e-05
2730,0.00799497926216983
3017,0.0015553372626064177
3023,0.009181947173106308
3026,0.0005048024448810303
3035,0.06993560358000436
3036,0.11607727570399476
3037,0.00038201266099105
3082,9.55031652477625e-05
3102,5.457323728443572e-05
3118,0.0014189041693953284
3120,1.364330932110893e-05
3283,0.00023193625845885178
3346,0.000559375682165466
3347,0.006644291639380048
3352,0.0008049552499454267
3589,0.03840591573892163
4004,0.002619515389652914
4130,0.004802444881030343
4211,0.060903732809430254
4684,0.0004911591355599214
4685,0.017135996507312814
4754,0.0003410827330277232
5216,0.00010914647456887143
5455,5.457323728443572e-05
5558,0.00023193625845885178
5569,0.005648330058939096
5889,0.5729098450120061
5943,4.092992796332678e-05
5954,0.3901850032743942
5993,0.2468074656188605
6115,0.000191006330495525
6129,5.457323728443572e-05
6212,0.000191006330495525
6214,0.0078039729316743064
6278,1.364330932110893e-05
6294,0.3757230953940188
6333,0.00020464963981663392
6344,0.00038201266099105
6366,0.00021829294913774285
6386,5.457323728443572e-05
6403,0.025881357782143635
6456,0.000927745033835407
6527,0.004270355817507095
6535,6.821654660554464e-05
6537,0.0006548788474132285
6544,2.728661864221786e-05
6545,0.00799497926216983
6557,0.0003001528050643964
6564,8.185985592665356e-05
6574,9.55031652477625e-05
6575,0.0004911591355599214
6591,0.0002455795677799607
6616,0.012401768172888015
6623,0.0024967256057629337
6641,0.001296114385505348
6697,0.00023193625845885178
6709,0.0007640253219820998
6710,0.00031379611438550533
6720,0.0008868151058720803
6734,0.05316797642436149
6758,0.00031379611438550533
6766,0.009836826020519537
6800,0.0013916175507531106
6838,0.00012278978388998034
6853,0.006794368041912246
6854,0.0015280506439641997
6895,0.011310303427199303
6901,0.16025431128574547
6905,0.003629120279414975
6906,0.0009686749617987339
6907,0.0006275922287710107
6914,0.0003274394237066143
6924,0.00013643309321108928
6944,0.0004092992796332679
6945,0.00031379611438550533
6946,0.0004365858982754856
6977,0.004911591355599214
6979,0.00010914647456887143
6983,0.00027286618642217856
7002,0.01246998471949356
7015,8.185985592665356e-05
7031,0.000191006330495525
7042,0.0002455795677799607
7047,2.728661864221786e-05
7048,8.185985592665356e-05
7055,0.019059703121589174
7070,0.0009686749617987339
7094,0.003233464309102816
7095,0.04225332896747435
7103,0.00016371971185330712
7108,0.0014598340973586553
7110,0.050643964199956336
7195,5.457323728443572e-05
7219,0.004052062868369352
7221,0.03406734337480899
7222,0.0001500764025321982
7237,0.00814505566470203
7238,0.00021829294913774285
7239,0.004270355817507095
7240,0.0003001528050643964
7244,0.0007503820126609909
7245,0.0005320890635232482
7247,0.0006275922287710107
7248,9.55031652477625e-05
7257,6.821654660554464e-05
7258,0.00012278978388998034
7259,9.55031652477625e-05
7262,5.457323728443572e-05
7269,0.009509386596812922
7270,0.08408371534599432
7280,5.457323728443572e-05
7285,0.00036836935166994106
7292,2.728661864221786e-05
7296,0.005416393800480245
7311,0.0005457323728443571
7368,0.0004092992796332679
7370,0.00021829294913774285
7374,0.005921196245361274
7390,0.002742305173542895
7393,0.00013643309321108928
7406,0.020424034053700066
7407,0.00021829294913774285
7416,0.00012278978388998034
7422,0.00017736302117441605
7423,0.000191006330495525
7443,0.0006958087753765553
7450,0.004911591355599214
7453,0.0001500764025321982
7473,9.55031652477625e-05
7474,0.0004092992796332679
7475,0.00038201266099105
7485,0.00010914647456887143
7486,0.005389107181838027
7499,0.0004911591355599214
7500,0.010873717528923814
7515,0.00013643309321108928
7543,0.000927745033835407
7563,0.0001500764025321982
7567,0.0012006112202575857
7583,0.0010641781270464964
7657,0.005784763152150184
7668,0.005416393800480245
7670,0.00025922287710106965
7716,0.005784763152150184
7726,0.0013506876227897839
7734,0.001296114385505348
7804,0.002742305173542895
7809,0.012238048461034708
7810,0.00016371971185330712
7812,0.0003001528050643964
7839,0.00016371971185330712
7850,0.00012278978388998034
7868,0.0017599869024230517
7874,0.04116186422178563
7907,0.06544695481335952
7927,0.019673652041039075
7929,0.013602379393145602
7932,0.00021829294913774285
7933,0.0002455795677799607
7941,0.0052663173979480464
7944,8.185985592665356e-05
7947,0.004052062868369352
7950,0.021092556210434404
7961,4.092992796332678e-05
7962,0.005416393800480245
7964,9.55031652477625e-05
7977,0.0001500764025321982
8003,0.006780724732591136
8005,0.0004365858982754856
8029,0.0001500764025321982
8030,0.00016371971185330712
8058,0.012238048461034708
8078,0.0681756166775813
8089,0.057260969220694166
8115,0.00016371971185330712
8141,0.012238048461034708
8182,0.013602379393145602
8183,0.009181947173106308
8222,0.03406734337480899
8268,0.1332814887579131
8289,0.000191006330495525
8295,0.00025922287710106965
8330,0.004174852652259332
8341,8.185985592665356e-05
8343,0.0037109801353416285
8370,0.3757230953940188
8381,0.00023193625845885178
8398,0.0014189041693953284
8404,0.00762660991049989
8418,0.16777177472167648
8445,9.55031652477625e-05
8447,0.00012278978388998034
8449,0.00010914647456887143
8461,0.0007776686313032088
8553,0.000559375682165466
8640,0.0007503820126609909
8679,0.0004911591355599214
8814,0.0012006112202575857
8864,0.009509386596812922
8900,0.009509386596812922
8909,0.0007230953940187732
8946,2.728661864221786e-05
9076,4.092992796332678e-05
9106,0.40381466928618204
9115,1.0
9117,0.7666448373717529
9128,0.49795350360183366
9131,0.4501746343593102
9142,0.0011460379829731498
9144,0.47751582623881245
9152,0.4092447063959834
9153,0.38465946299934517
9154,0.20050207378301682
9158,0.47882558393363894
9161,0.0518036454922506
9163,0.005143527614058066
9170,0.5156898057192753
9171,0.0052663173979480464
9183,0.0009413883431565159
9195,0.19231608819035145
9201,0.0005184457542021393
9253,0.0681756166775813
9268,0.029128465400567558
9298,0.01211525867714473
9411,2.728661864221786e-05
9443,0.08805391835843701
9481,0.04513206723422833
9502,0.00010914647456887143
10044,0.00814505566470203
10263,0.005416393800480245
10326,0.00814505566470203
10372,0.00042294258895437685
10522,0.001091464745688714
10686,0.005416393800480245
10695,0.004052062868369352
10698,2.728661864221786e-05
10812,0.0015553372626064177
10870,0.013602379393145602
10907,0.05453230735647238
10911,0.2984473913992578
10913,0.7497134905042566
10943,0.0008049552499454267
10952,0.003465400567561668
10989,0.0004365858982754856
11006,0.023152695917921847
11008,0.38741541148220915
11123,0.00025922287710106965
11137,0.00039565597031215893
11140,8.185985592665356e-05
11169,0.10345721458196899
11215,0.07226860947391399
11229,0.012238048461034708
11233,0.006780724732591136
11269,0.020424034053700066
11304,0.020424034053700066
11327,0.004379502292075966
11364,6.821654660554464e-05
11386,0.0014189041693953284
11416,0.024517026850032743
11487,0.0030151713599650735
11507,0.012238048461034708
11512,0.005416393800480245
11542,0.009509386596812922
11551,0.005416393800480245
11563,0.00010914647456887143
11571,0.00012278978388998034
11582,0.004052062868369352
11592,0.03406734337480899
11594,0.004052062868369352
11635,0.02861001964636542
11636,0.19231608819035145
11795,0.07155915738921632
11816,2.728661864221786e-05
11855,0.10109692206941714
11883,1.364330932110893e-05
11899,0.009181947173106308
11903,0.005416393800480245
11936,0.0012551844575420213
12024,2.728661864221786e-05
12048,0.005416393800480245
12064,0.005034381139489195
12096,0.005416393800480245
12100,0.004052062868369352
12160,0.005416393800480245
12172,0.00016371971185330712
12276,0.00028650949574328746
12279,0.060903732809430254
12388,0.01633104125736739
12389,0.031338681510587205
12391,0.03543167430691988
12395,0.06376882776686313
12398,0.027245688714254528
12401,0.024517026850032743
